SYNTAX	DESCRIPTION	CLASS	TYPE	GROUP	CATEGORY	KEYWORDS	TIO	DOCS
n10=: 0{y	The first item of y	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n11=: (-#y){y	The first item of y	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n12=: 3 0 _2 0{y	Items 3 0 _2 0 of y	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n13=: i=: ?2 3$0{$y 	Indices used in examples	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n14=: j=: ? 1{$y	Indices used in examples	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n15=: k=: ?7 $2{$y	Indices used in examples	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n16=: (<i;j;k){y	y[i;j;k;]in APL notation	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n17=: (<1;2;3){y	y[1;2;3;]	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n18=: (<1,2,3){y	y[1;2;3;]	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n19=: (<1 2 3){y	y[1;2;3;]	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n20=: (<<i){y	y[i;;;;]	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n21=: (<<,i){y	y[,i;;...;]	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n22=: (,i){y	y[,i;;...;]	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n23=: (<<1 3 2){y	Items 1 3 2	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n24=: (<<<1 3 2){y	All but items 1 3 2	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n25=: (<<<1 3){y	All but items 1 3	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n26=: (<<<1){y	All but items 1	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
